16.0,934,581,17,28,worm
16.0,1554,540,19,37,worm
16.0,845,508,33,20,worm
16.0,884,479,18,31,worm
16.0,969,477,12,31,worm
16.0,1119,478,35,12,worm
16.0,1012,453,19,23,worm
16.0,942,451,30,19,worm
16.0,1027,398,14,30,worm
16.0,972,392,20,20,worm
16.0,907,336,29,45,worm
16.0,952,334,30,22,worm
17.0,1557,1023,56,15,worm
17.0,975,783,20,22,worm
17.0,919,712,20,27,worm
17.0,1152,711,22,17,worm
17.0,1206,649,28,19,worm
17.0,1043,574,18,24,worm
17.0,880,556,19,29,worm
17.0,1110,543,19,24,worm
17.0,806,460,16,53,worm
17.0,967,442,17,28,worm
17.0,1000,417,12,31,worm
17.0,1009,408,28,23,worm
17.0,1109,411,22,19,worm
17.0,870,388,44,16,worm
17.0,977,362,19,36,worm
17.0,1018,368,19,23,worm
17.0,841,357,25,31,worm
17.0,936,313,20,41,worm
17.0,1098,292,23,27,worm
18.0,1557,1023,56,15,worm
18.0,942,769,21,21,worm
18.0,1147,694,32,20,worm
18.0,1037,686,31,20,worm
18.0,1030,662,32,15,worm
18.0,1015,614,15,38,worm
18.0,1048,566,30,20,worm
18.0,830,529,20,30,worm
18.0,1333,524,14,32,worm
18.0,842,459,15,41,worm
18.0,912,470,20,23,worm
18.0,966,433,23,30,worm
18.0,1008,409,16,20,worm
18.0,1041,384,14,24,worm
18.0,888,362,16,43,worm
18.0,1001,357,15,32,worm
18.0,859,352,22,33,worm
18.0,947,325,15,33,worm
18.0,1005,311,35,22,worm
18.0,943,295,28,16,worm
19.0,1557,1023,56,15,worm
19.0,956,758,20,29,worm
19.0,1129,687,29,21,worm
19.0,940,690,32,15,worm
19.0,1101,654,24,19,worm
19.0,1013,611,16,36,worm
19.0,875,559,20,24,worm
19.0,1070,563,33,14,worm
19.0,845,520,22,49,worm
19.0,960,432,21,32,worm
19.0,914,425,17,27,worm
19.0,935,404,21,26,worm
19.0,1049,405,33,19,worm
19.0,996,359,30,40,worm
19.0,870,338,54,18,worm
19.0,925,297,27,39,worm
20.0,1556,1023,57,15,worm
20.0,1181,691,21,20,worm
20.0,938,665,24,31,worm
20.0,1161,605,33,18,worm
20.0,1078,561,17,25,worm
20.0,1554,541,20,37,worm
20.0,960,539,16,31,worm
20.0,882,547,28,22,worm
20.0,822,505,29,26,worm
20.0,965,488,19,28,worm
20.0,1032,485,15,30,worm
20.0,815,475,28,19,worm
20.0,888,443,22,36,worm
20.0,1003,454,16,23,worm
20.0,933,404,15,32,worm
20.0,1087,382,32,16,worm
20.0,1023,372,24,19,worm
20.0,968,267,16,39,worm
21.0,1048,815,37,16,worm
21.0,994,660,19,31,worm
21.0,1040,606,15,28,worm
21.0,1205,580,11,26,worm
21.0,1554,541,19,36,worm
21.0,867,508,22,50,worm
21.0,1139,511,14,27,worm
21.0,939,504,20,30,worm
21.0,910,506,20,28,worm
21.0,1017,496,21,17,worm
21.0,972,462,15,48,worm
21.0,1002,462,17,18,worm
21.0,935,446,27,21,worm
21.0,1106,433,13,30,worm
21.0,926,389,18,29,worm
21.0,856,368,40,15,worm
21.0,951,359,30,23,worm
22.0,1557,1023,56,15,worm
22.0,971,816,23,34,worm
22.0,929,760,29,24,worm
22.0,919,739,29,18,worm
22.0,964,707,14,39,worm
22.0,1080,717,21,23,worm
22.0,1160,611,42,19,worm
22.0,1061,575,18,28,worm
22.0,875,497,21,23,worm
22.0,977,490,27,21,worm
22.0,1062,490,32,13,worm
22.0,959,466,13,34,worm
22.0,986,463,29,21,worm
22.0,1123,458,43,17,worm
22.0,863,442,33,28,worm
22.0,975,409,26,19,worm
22.0,1002,376,12,31,worm
22.0,880,368,14,35,worm
22.0,925,349,29,25,worm
23.0,1557,1023,56,15,worm
23.0,941,741,16,34,worm
